EDGE0,EDGE1,EDGE2,EDGE3,EDGE4,EDGE5,EDGE6,EDGE7
1.4952,1.4974,1.208,1.4897,1.2036,1.208,1.4952,1.4974
1.4955,1.4977,1.2082,1.4898,1.2036,1.2082,1.4955,1.4977
1.4963,1.4988,1.2086,1.4901,1.2036,1.2086,1.4963,1.4988
1.4966,1.4992,1.2088,1.4902,1.2036,1.2088,1.4966,1.4992
1.4965,1.499,1.2087,1.4902,1.2036,1.2087,1.4965,1.499
1.4968,1.4994,1.2089,1.4903,1.2036,1.2089,1.4968,1.4994
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.29615,0.29811,0.23742,0.29134,0.23351,0.2374,0.29617,0.29813
0.30862,0.31037,0.24777,0.30433,0.2443,0.24776,0.30863,0.31038
0.32165,0.32324,0.25853,0.31777,0.25539,0.25852,0.32166,0.32325
0.33219,0.33366,0.26718,0.32856,0.26425,0.26717,0.33219,0.33367
0.34225,0.34364,0.27544,0.33883,0.27267,0.27543,0.34226,0.34365
0.35191,0.35323,0.28334,0.34866,0.28072,0.28334,0.35191,0.35324
0.36122,0.36249,0.29096,0.35812,0.28845,0.29096,0.36123,0.36249
1.6555,1.6562,1.3398,1.6538,1.3384,1.3398,1.6555,1.6562
1.6117,1.6124,1.3044,1.6101,1.3031,1.3044,1.6117,1.6124
1.5442,1.5449,1.2498,1.5427,1.2486,1.2498,1.5442,1.5449
1.5134,1.514,1.2249,1.5121,1.2238,1.2249,1.5134,1.514
1.5223,1.5229,1.2321,1.5209,1.231,1.2321,1.5223,1.5229
1.5031,1.5037,1.2164,1.5016,1.2152,1.2164,1.5031,1.5037
1.4902,1.4909,1.206,1.4886,1.2047,1.206,1.4902,1.4909
1.4907,1.4916,1.2061,1.4885,1.2043,1.2061,1.4907,1.4916
1.491,1.492,1.2062,1.4885,1.2042,1.2062,1.491,1.492
1.4905,1.4914,1.2061,1.4886,1.2045,1.2061,1.4905,1.4914
1.4906,1.4915,1.2061,1.4885,1.2044,1.2061,1.4906,1.4915
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.5617,1.5624,1.2639,1.5601,1.2625,1.2639,1.5617,1.5624
1.5263,1.527,1.2352,1.5248,1.234,1.2352,1.5263,1.527
1.4902,1.4908,1.206,1.4887,1.2048,1.206,1.4902,1.4908
1.4901,1.4908,1.206,1.4887,1.2048,1.206,1.4901,1.4908
1.4964,1.497,1.2111,1.4951,1.21,1.2111,1.4964,1.497
1.4902,1.4909,1.206,1.4886,1.2047,1.206,1.4902,1.4909
1.4903,1.491,1.206,1.4886,1.2047,1.206,1.4903,1.491
1.4907,1.4915,1.2061,1.4885,1.2044,1.2061,1.4907,1.4915
1.4909,1.4919,1.2061,1.4885,1.2042,1.2061,1.4909,1.4919
1.4906,1.4915,1.2061,1.4886,1.2044,1.2061,1.4906,1.4915
1.4907,1.4916,1.2061,1.4885,1.2043,1.2061,1.4907,1.4916
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.545,1.5457,1.2503,1.5433,1.249,1.2503,1.545,1.5457
1.5074,1.5081,1.22,1.5059,1.2188,1.22,1.5074,1.5081
1.4903,1.491,1.206,1.4886,1.2046,1.206,1.4903,1.491
1.4903,1.4911,1.206,1.4886,1.2046,1.206,1.4903,1.4911
1.4902,1.4909,1.206,1.4886,1.2047,1.206,1.4902,1.4909
1.4906,1.4915,1.2061,1.4885,1.2044,1.2061,1.4906,1.4915
1.4911,1.4921,1.2062,1.4885,1.2041,1.2062,1.4911,1.4921
1.4919,1.4933,1.2065,1.4887,1.2039,1.2065,1.4919,1.4933
1.4922,1.4935,1.2066,1.4887,1.2039,1.2066,1.4922,1.4935
1.4917,1.4929,1.2064,1.4886,1.204,1.2064,1.4917,1.4929
1.4919,1.4932,1.2065,1.4887,1.2039,1.2065,1.4919,1.4932
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
