EDGE0,EDGE1,EDGE2,EDGE3,EDGE4,EDGE5,EDGE6,EDGE7
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.296,0.298,0.237,0.291,0.234,0.237,0.296,0.298
0.309,0.310,0.248,0.304,0.244,0.248,0.309,0.310
0.322,0.323,0.259,0.318,0.255,0.259,0.322,0.323
0.332,0.334,0.267,0.329,0.264,0.267,0.332,0.334
0.342,0.344,0.275,0.339,0.273,0.275,0.342,0.344
0.352,0.353,0.283,0.349,0.281,0.283,0.352,0.353
0.361,0.362,0.291,0.358,0.288,0.291,0.361,0.362
1.655,1.656,1.340,1.654,1.338,1.340,1.655,1.656
1.612,1.612,1.304,1.610,1.303,1.304,1.612,1.612
1.544,1.545,1.250,1.543,1.249,1.250,1.544,1.545
1.513,1.514,1.225,1.512,1.224,1.225,1.513,1.514
1.522,1.523,1.232,1.521,1.231,1.232,1.522,1.523
1.503,1.504,1.216,1.502,1.215,1.216,1.503,1.504
1.490,1.491,1.206,1.489,1.205,1.206,1.490,1.491
1.491,1.492,1.206,1.488,1.204,1.206,1.491,1.492
1.491,1.492,1.206,1.488,1.204,1.206,1.491,1.492
1.490,1.491,1.206,1.489,1.204,1.206,1.490,1.491
1.491,1.492,1.206,1.488,1.204,1.206,1.491,1.492
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.562,1.562,1.264,1.560,1.262,1.264,1.562,1.562
1.526,1.527,1.235,1.525,1.234,1.235,1.526,1.527
1.490,1.491,1.206,1.489,1.205,1.206,1.490,1.491
1.490,1.491,1.206,1.489,1.205,1.206,1.490,1.491
1.496,1.497,1.211,1.495,1.210,1.211,1.496,1.497
1.490,1.491,1.206,1.489,1.205,1.206,1.490,1.491
1.490,1.491,1.206,1.489,1.205,1.206,1.490,1.491
1.491,1.492,1.206,1.488,1.204,1.206,1.491,1.492
1.491,1.492,1.206,1.488,1.204,1.206,1.491,1.492
1.491,1.492,1.206,1.489,1.204,1.206,1.491,1.492
1.491,1.492,1.206,1.488,1.204,1.206,1.491,1.492
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.545,1.546,1.250,1.543,1.249,1.250,1.545,1.546
1.507,1.508,1.220,1.506,1.219,1.220,1.507,1.508
1.490,1.491,1.206,1.489,1.205,1.206,1.490,1.491
1.490,1.491,1.206,1.489,1.205,1.206,1.490,1.491
1.490,1.491,1.206,1.489,1.205,1.206,1.490,1.491
1.491,1.492,1.206,1.488,1.204,1.206,1.491,1.492
1.491,1.492,1.206,1.488,1.204,1.206,1.491,1.492
1.492,1.493,1.206,1.489,1.204,1.206,1.492,1.493
1.492,1.494,1.207,1.489,1.204,1.207,1.492,1.494
1.492,1.493,1.206,1.489,1.204,1.206,1.492,1.493
1.492,1.493,1.206,1.489,1.204,1.206,1.492,1.493
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.490,1.491,1.206,1.489,1.205,1.206,1.490,1.491
1.490,1.491,1.206,1.489,1.205,1.206,1.490,1.491
1.491,1.492,1.206,1.488,1.204,1.206,1.491,1.492
1.491,1.492,1.206,1.488,1.204,1.206,1.491,1.492
1.491,1.492,1.206,1.488,1.204,1.206,1.491,1.492
1.491,1.492,1.206,1.489,1.204,1.206,1.491,1.492
1.492,1.493,1.206,1.489,1.204,1.206,1.492,1.493
1.493,1.494,1.207,1.489,1.204,1.207,1.493,1.494
1.493,1.494,1.207,1.489,1.204,1.207,1.493,1.494
1.492,1.494,1.207,1.489,1.204,1.207,1.492,1.494
1.493,1.494,1.207,1.489,1.204,1.207,1.493,1.494
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.490,1.491,1.206,1.489,1.205,1.206,1.490,1.491
1.490,1.491,1.206,1.489,1.205,1.206,1.490,1.491
1.491,1.492,1.206,1.488,1.204,1.206,1.491,1.492
1.491,1.492,1.206,1.488,1.204,1.206,1.491,1.492
1.491,1.492,1.206,1.488,1.204,1.206,1.491,1.492
1.491,1.492,1.206,1.488,1.204,1.206,1.491,1.492
1.492,1.493,1.206,1.489,1.204,1.206,1.492,1.493
1.492,1.494,1.207,1.489,1.204,1.207,1.492,1.494
1.493,1.494,1.207,1.489,1.204,1.207,1.493,1.494
1.492,1.494,1.207,1.489,1.204,1.207,1.492,1.494
1.492,1.494,1.207,1.489,1.204,1.207,1.492,1.494
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
