cea_qloss_total [kW],simulink_qloss_total [kW],diff
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.727,11.062,0.060
11.730,11.064,0.060
11.737,11.067,0.061
11.737,11.067,0.061
11.735,11.066,0.060
11.737,11.068,0.060
11.741,11.070,0.061
11.744,11.073,0.061
11.748,11.075,0.061
11.746,11.074,0.061
11.748,11.076,0.061
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.708,11.053,0.059
11.710,11.053,0.059
11.714,11.055,0.060
11.714,11.055,0.060
11.714,11.054,0.060
11.714,11.055,0.060
11.719,11.056,0.060
11.721,11.058,0.060
11.722,11.059,0.060
11.721,11.058,0.060
11.722,11.058,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.714,11.055,0.060
11.719,11.056,0.060
11.721,11.058,0.060
11.722,11.058,0.060
11.719,11.057,0.060
11.722,11.059,0.060
11.724,11.060,0.060
11.730,11.063,0.060
11.730,11.064,0.060
11.730,11.063,0.060
11.730,11.064,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.719,11.056,0.060
11.721,11.058,0.060
11.724,11.060,0.060
11.724,11.060,0.060
11.722,11.059,0.060
11.727,11.061,0.060
11.730,11.062,0.060
11.734,11.064,0.061
11.735,11.065,0.061
11.734,11.064,0.061
11.735,11.065,0.061
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.721,11.058,0.060
11.724,11.060,0.060
11.730,11.063,0.060
11.730,11.063,0.060
11.728,11.062,0.060
11.734,11.064,0.061
11.734,11.065,0.060
11.737,11.068,0.060
11.737,11.069,0.060
11.737,11.068,0.060
11.741,11.069,0.061
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.722,11.059,0.060
11.725,11.060,0.060
11.730,11.063,0.060
11.730,11.063,0.060
11.727,11.061,0.060
11.730,11.064,0.060
11.734,11.064,0.061
11.735,11.067,0.060
11.737,11.067,0.061
11.735,11.067,0.060
11.737,11.068,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
2.298,2.162,0.063
2.402,2.258,0.064
2.505,2.359,0.062
2.589,2.438,0.062
2.671,2.515,0.062
2.746,2.588,0.061
2.820,2.658,0.061
13.009,12.279,0.059
12.665,11.955,0.059
12.132,11.455,0.059
11.893,11.227,0.059
11.960,11.292,0.059
11.811,11.149,0.059
11.708,11.053,0.059
11.713,11.054,0.060
11.714,11.054,0.060
11.712,11.053,0.060
11.712,11.053,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
12.272,11.584,0.059
11.993,11.321,0.059
11.708,11.053,0.059
11.708,11.053,0.059
11.759,11.100,0.059
11.708,11.053,0.059
11.708,11.053,0.059
11.713,11.053,0.060
11.713,11.054,0.060
11.712,11.053,0.060
11.713,11.053,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
12.139,11.460,0.059
11.845,11.182,0.059
11.710,11.053,0.059
11.710,11.053,0.059
11.708,11.053,0.059
11.712,11.053,0.060
11.714,11.054,0.060
11.719,11.056,0.060
11.719,11.056,0.060
11.716,11.055,0.060
11.719,11.056,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.708,11.053,0.059
11.710,11.053,0.059
11.714,11.054,0.060
11.714,11.054,0.060
11.713,11.054,0.060
11.714,11.055,0.060
11.716,11.055,0.060
11.719,11.057,0.060
11.721,11.058,0.060
11.719,11.057,0.060
11.719,11.057,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.708,11.053,0.059
11.710,11.053,0.059
11.714,11.054,0.060
11.714,11.054,0.060
11.713,11.053,0.060
11.714,11.054,0.060
11.714,11.055,0.060
11.719,11.056,0.060
11.719,11.057,0.060
11.719,11.056,0.060
11.719,11.057,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
3.841,3.623,0.060
3.840,3.621,0.060
3.861,3.641,0.060
3.878,3.660,0.060
3.901,3.679,0.060
3.925,3.703,0.060
3.951,3.726,0.060
13.716,12.948,0.059
13.355,12.607,0.059
12.853,12.134,0.059
12.666,11.956,0.059
12.770,12.053,0.059
12.610,11.905,0.059
12.311,11.622,0.059
11.833,11.170,0.059
11.708,11.053,0.059
11.909,11.244,0.059
11.859,11.194,0.059
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
6.249,7.662,0.184
12.414,11.720,0.059
12.044,11.371,0.059
11.708,11.053,0.059
11.708,11.053,0.059
11.708,11.053,0.059
11.710,11.053,0.059
11.714,11.054,0.060
11.716,11.055,0.060
11.719,11.056,0.060
11.716,11.055,0.060
11.716,11.055,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.710,11.053,0.059
11.713,11.054,0.060
11.716,11.055,0.060
11.716,11.055,0.060
11.714,11.055,0.060
11.719,11.055,0.060
11.719,11.057,0.060
11.724,11.059,0.060
11.725,11.060,0.060
11.724,11.059,0.060
11.724,11.060,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.716,11.055,0.060
11.719,11.056,0.060
11.722,11.059,0.060
11.724,11.060,0.060
11.722,11.058,0.060
11.725,11.061,0.060
11.728,11.062,0.060
11.734,11.065,0.060
11.735,11.066,0.060
11.734,11.065,0.060
11.735,11.066,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.722,11.059,0.060
11.725,11.060,0.060
11.730,11.063,0.060
11.730,11.063,0.060
11.727,11.062,0.060
11.734,11.064,0.061
11.735,11.065,0.061
11.737,11.068,0.060
11.741,11.069,0.061
11.740,11.069,0.061
11.741,11.070,0.061
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
