Di,Do,mdot_pipe,Pi,Po,dP,Ti,To,dT
0.1351,0.225,37.54289,40530,35905.1489616795,4624.85103832048,338.357,338.354636194631,0.00236380536875913
0.0732,0.14,5.36234,35905.1489616795,33454.2994405966,2450.84952108291,338.354636194631,338.295636257755,0.0589999368767735
0.1351,0.225,26.81795,35905.1489616795,33479.9574041964,2425.19155748309,338.354636194631,338.343299354624,0.011336840006777
0.0732,0.14,5.36293,33479.9574041964,31028.5470284709,2451.41037572554,338.343299354624,338.28432248376,0.0589768708647398
0.0311,0.09,0,33479.9574041964,33479.9574041964,0,338.343299354624,333.830386628208,4.51291272641606
0.0857,0.16,16.09158,33479.9574041964,24446.6839571925,9033.27344700396,338.343299354624,338.339091437508,0.00420791711678703
0.0732,0.14,5.36234,24446.6839571925,21995.6889304975,2450.99502669498,338.339091437508,338.28011702023,0.0589744172781934
0.0732,0.14,5.36403,24446.6839571925,21994.23142655,2452.45253064247,338.339091437508,338.280139978878,0.0589514586294513
